Agency Network,Agency,Agency Domain,Fossil Fuel Company
Publicis,Saatchi & Saatchi (Saatchi & Saatchi Italy),https://saatchi.it/,Enel
INDEPENDENT,Saffron Consultants,http://www.saffron-consultants.com,CEPSA
INDEPENDENT,Saint Mob Media,http://www.saintmob.media,NSW Minerals Council
INDEPENDENT,Salmon House,http://www.salmonhouse.com,PTT
INDEPENDENT,Sanko Communication,https://www.sankorf.com/,Nippon Coke and Engineering
INDEPENDENT,SAS Group,http://www.sasgroup.net,Omega Oil and Gas
INDEPENDENT,Sauce Advertising,http://www.sauceadvertising.com,Engen
INDEPENDENT,SEC Newgate,http://www.secnewgate.com,"APA Group, BHP, Chevron, Fuels Europe, Malabar Coal, South32, Whitehaven Coal"
INDEPENDENT,Seesame,http://www.seesame.com,"Shell, Transpetrol, Yukos Oil Company"
INDEPENDENT,SERVICEPLAN Korea,https://www.serviceplan.co.kr/kr.html,Hyundai Oilbank
INDEPENDENT,Sgwili Media Group,https://sgwilimediagroup.com/,Karpowership South Africa
INDEPENDENT,Shift,http://www.shift.com.tr,"Engen, Exxaro"
INDEPENDENT,Showpony,https://www.showpony.com.au/,Santos
OMNICOM,Siegel + Gale,https://www.siegelgale.com/,Exelon
INDEPENDENT,Simple,http://www.simple.life,Abastible
INDEPENDENT,Singer Associates,https://singersf.com/,Chevron
INDEPENDENT,Sitrick and Company,http://www.sitrick.com,"Chevron, ExxonMobil, OILEX, Xcel Energy, Yukos Oil Company"
INDEPENDENT,SM Culture & Contents,http://www.smcultureandcontents.com,SK Innovation
INDEPENDENT,Social Clinic,http://www.socialclinic.sa,Saudi Aramco
INDEPENDENT,Spoke Corporate,http://www.hellospoke.com.au,Invictus Energy
INDEPENDENT,Spring Green,http://www.spring-green.com,Phillips 66
INDEPENDENT,Spring Street Advisory,http://www.springstreetadvisory.com,"Australian Gas Infrastructure Group, Engie, GB Energy, Globird Energy, Lochard Energy, Simply Energy, TotalEnergies"
INDEPENDENT,Story Partners,http://www.storypartnersdc.com,"American Petroleum Institute, Chevron (Noble Energy), Venture Global LNG"
INDEPENDENT,Strategic Political Counsel,http://www.strategicounsel.com,APA
INDEPENDENT,SWAT by Kirshenbaum,http://www.nsgswat.com,Tellurian
INDEPENDENT,T Brand Studio (NYTimes),https://www.nytco.com/products/t-brand-studio/,BP
INDEPENDENT,Talent Marcel,https://talentmarcel.com.br/,Ipiranga
INDEPENDENT,Tarek Nour Gulf Ltd.,https://www.tareknour.com/,ExxonMobil
INDEPENDENT,Tatil Design,https://tatil.com.br/en/tatil-home-en/,Vibra Energia
INDEPENDENT,Taylor Connect,https://www.taylorconnectgroup.com/,Tas Gas
OMNICOM,TBWA,http://www.tbwalondon.com,Eni
OMNICOM,TBWA (Tam-Tam\TBWA),https://www.tamtamtbwa.com/,Petro-Canada
OMNICOM,TBWA (TBWA\Singapore),https://www.tbwa.com.sg/,Geneco
OMNICOM,TBWA (TBWA\Thailand),https://www.tbwathailand.com/,PTT
OMNICOM,TBWA (Yellowwood & Grid Worldwide),http://www.gridworldwide.com/,Sasol
INDEPENDENT,Team OnGround,https://tog.com.ph/,Shell
INDEPENDENT,Teneo,http://www.teneouk.com,Chevron
INDEPENDENT,Teneo (Tulchan Communications),https://www.teneo.com/teneo-to-acquire-tulchan/,Centrica
INDEPENDENT,TG Public Affairs,https://www.tgpublic.com.au/,"Engie, LETA"
WPP,The Brand Agency,http://www.thebrandagency.com," Kleenheat, Woodside "
